Strain,Stress,Strain Rate,Temperature
0.03796,35.75323,0.01,250
0.03807,35.89879,0.01,250
0.03809,36.04106,0.01,250
0.03826,36.18724,0.01,250
0.03836,36.33036,0.01,250
0.03843,36.47772,0.01,250
0.03853,36.62127,0.01,250
0.03868,36.76988,0.01,250
0.03866,36.91445,0.01,250
0.0388,37.06415,0.01,250
0.03891,37.21083,0.01,250
0.039,37.36307,0.01,250
0.03915,37.51124,0.01,250
0.03926,37.66531,0.01,250
0.03941,37.81468,0.01,250
0.03941,37.97045,0.01,250
0.03949,38.12144,0.01,250
0.03956,38.27912,0.01,250
0.03974,38.43167,0.01,250
0.03976,38.59134,0.01,250
0.03997,38.74582,0.01,250
0.03995,38.90755,0.01,250
0.04023,39.06407,0.01,250
0.04036,39.22742,0.01,250
0.04028,39.38476,0.01,250
0.04036,39.54869,0.01,250
0.0405,39.70614,0.01,250
0.04074,39.86966,0.01,250
0.0408,40.02757,0.01,250
0.0408,40.19162,0.01,250
0.04095,40.35026,0.01,250
0.04099,40.51497,0.01,250
0.04101,40.67469,0.01,250
0.04107,40.84007,0.01,250
0.04123,41.00091,0.01,250
0.04142,41.16712,0.01,250
0.04148,41.32916,0.01,250
0.04158,41.49579,0.01,250
0.04184,41.65929,0.01,250
0.04173,41.82711,0.01,250
0.04186,41.9928,0.01,250
0.04204,42.16217,0.01,250
0.04213,42.32964,0.01,250
0.04237,42.5001,0.01,250
0.04227,42.66894,0.01,250
0.04245,42.84016,0.01,250
0.04258,43.01022,0.01,250
0.04281,43.18223,0.01,250
0.04277,43.35325,0.01,250
0.04278,43.52578,0.01,250
0.04309,43.698,0.01,250
0.04304,43.87112,0.01,250
0.04309,44.04403,0.01,250
0.0433,44.21778,0.01,250
0.04338,44.39176,0.01,250
0.04344,44.56653,0.01,250
0.04357,44.74185,0.01,250
0.04371,44.91808,0.01,250
0.04373,45.09477,0.01,250
0.04374,45.27219,0.01,250
0.04399,45.45018,0.01,250
0.04418,45.62852,0.01,250
0.0441,45.80668,0.01,250
0.0443,45.98491,0.01,250
0.04433,46.16302,0.01,250
0.0444,46.34147,0.01,250
0.04438,46.51985,0.01,250
0.04472,46.69867,0.01,250
0.04472,46.87748,0.01,250
0.0447,47.057,0.01,250
0.04497,47.2365,0.01,250
0.04502,47.41673,0.01,250
0.04509,47.59704,0.01,250
0.04521,47.77782,0.01,250
0.04523,47.95834,0.01,250
0.04543,48.13963,0.01,250
0.04555,48.32101,0.01,250
0.04557,48.5034,0.01,250
0.04561,48.686,0.01,250
0.04577,48.86962,0.01,250
0.04589,49.05322,0.01,250
0.04615,49.23749,0.01,250
0.04617,49.42134,0.01,250
0.04628,49.60545,0.01,250
0.04641,49.7889,0.01,250
