Strain,Stress,Strain Rate,Temperature
0.02919,90.07719,0.001,250
0.02925,90.2659,0.001,250
0.02931,90.45462,0.001,250
0.02938,90.64334,0.001,250
0.02944,90.83205,0.001,250
0.02951,91.02077,0.001,250
0.02957,91.20948,0.001,250
0.02963,91.3982,0.001,250
0.0297,91.58691,0.001,250
0.02976,91.77563,0.001,250
0.02982,91.96435,0.001,250
0.02989,92.15306,0.001,250
0.02996,92.34178,0.001,250
0.03002,92.53049,0.001,250
0.03009,92.71921,0.001,250
0.03016,92.90792,0.001,250
0.03023,93.09664,0.001,250
0.03029,93.28536,0.001,250
0.03036,93.47407,0.001,250
0.03043,93.66279,0.001,250
0.03049,93.8515,0.001,250
0.03056,94.04022,0.001,250
0.03063,94.22893,0.001,250
0.03069,94.41765,0.001,250
0.03076,94.60637,0.001,250
0.03083,94.79508,0.001,250
0.0309,94.9838,0.001,250
0.03096,95.17251,0.001,250
0.03103,95.36123,0.001,250
0.0311,95.54995,0.001,250
0.03117,95.73866,0.001,250
0.03124,95.92738,0.001,250
0.03131,96.11609,0.001,250
0.03138,96.30481,0.001,250
0.03145,96.49352,0.001,250
0.03152,96.68224,0.001,250
0.03159,96.87096,0.001,250
0.03166,97.05967,0.001,250
0.03173,97.24839,0.001,250
0.03179,97.4371,0.001,250
0.03187,97.62582,0.001,250
0.03194,97.81453,0.001,250
0.03202,98.00325,0.001,250
0.03209,98.19197,0.001,250
0.03217,98.38068,0.001,250
0.03224,98.5694,0.001,250
0.03231,98.75811,0.001,250
0.03239,98.94683,0.001,250
0.03246,99.13554,0.001,250
0.03254,99.32426,0.001,250
0.03261,99.51298,0.001,250
0.03269,99.70169,0.001,250
0.03276,99.89041,0.001,250
0.03284,100.07912,0.001,250
0.03292,100.26784,0.001,250
0.03301,100.45655,0.001,250
0.03309,100.64527,0.001,250
0.03318,100.83399,0.001,250
0.03326,101.0227,0.001,250
0.03334,101.21142,0.001,250
0.03343,101.40013,0.001,250
0.03351,101.58885,0.001,250
0.03359,101.77757,0.001,250
0.03368,101.96628,0.001,250
0.03376,102.155,0.001,250
0.03385,102.34371,0.001,250
0.03395,102.53243,0.001,250
0.03405,102.72114,0.001,250
0.03415,102.90986,0.001,250
0.03425,103.09858,0.001,250
0.03434,103.28729,0.001,250
0.03444,103.47601,0.001,250
0.03454,103.66472,0.001,250
0.03464,103.85344,0.001,250
0.03474,104.04215,0.001,250
0.03484,104.23087,0.001,250
0.03494,104.41959,0.001,250
0.03505,104.6083,0.001,250
0.03515,104.79702,0.001,250
0.03526,104.98573,0.001,250
0.03537,105.17445,0.001,250
0.03547,105.36316,0.001,250
0.03558,105.55188,0.001,250
0.03568,105.7406,0.001,250
0.03579,105.92931,0.001,250
0.0359,106.11803,0.001,250
0.03601,106.30674,0.001,250
0.03613,106.49546,0.001,250
0.03625,106.68417,0.001,250
0.03637,106.87289,0.001,250
0.03648,107.06161,0.001,250
0.0366,107.25032,0.001,250
0.03672,107.43904,0.001,250
0.03683,107.62775,0.001,250
0.03697,107.81647,0.001,250
0.03711,108.00518,0.001,250
0.03725,108.1939,0.001,250
0.03738,108.38262,0.001,250
0.03752,108.57133,0.001,250
0.03766,108.76005,0.001,250
0.03779,108.94876,0.001,250
0.03795,109.13748,0.001,250
0.03811,109.32619,0.001,250
0.03827,109.51491,0.001,250
0.03843,109.70363,0.001,250
0.03859,109.89234,0.001,250
0.03874,110.08106,0.001,250
0.03891,110.26977,0.001,250
0.0391,110.45849,0.001,250
0.0393,110.6472,0.001,250
0.03949,110.83592,0.001,250
0.03968,111.02464,0.001,250
0.03988,111.21335,0.001,250
0.04011,111.40207,0.001,250
0.04034,111.59078,0.001,250
0.04057,111.7795,0.001,250
0.0408,111.96821,0.001,250
0.04106,112.15693,0.001,250
0.04133,112.34565,0.001,250
0.0416,112.53436,0.001,250
0.04187,112.72308,0.001,250
0.0421,112.91179,0.001,250
0.04234,113.10051,0.001,250
0.04258,113.28922,0.001,250
0.04282,113.47794,0.001,250
0.04312,113.66665,0.001,250
0.04341,113.85537,0.001,250
0.04371,114.04409,0.001,250
0.04405,114.2328,0.001,250
0.04441,114.42152,0.001,250
0.04477,114.61023,0.001,250
0.04522,114.79895,0.001,250
0.04568,114.98766,0.001,250
0.04615,115.17638,0.001,250
0.04662,115.36509,0.001,250
0.04709,115.55381,0.001,250
0.04756,115.74252,0.001,250
0.04803,115.93124,0.001,250
0.04849,116.11995,0.001,250
0.04891,116.30867,0.001,250
0.04924,116.49738,0.001,250
0.04956,116.6861,0.001,250
0.05026,116.87481,0.001,250
0.05098,117.06353,0.001,250
0.05166,117.25224,0.001,250
0.05224,117.44096,0.001,250
0.05268,117.62967,0.001,250
0.0531,117.81839,0.001,250
0.05348,118.0071,0.001,250
0.05389,118.19582,0.001,250
0.05437,118.38453,0.001,250
0.0549,118.57325,0.001,250
0.05557,118.76196,0.001,250
0.05621,118.95068,0.001,250
0.05679,119.13939,0.001,250
0.05736,119.32811,0.001,250
0.05791,119.51682,0.001,250
0.05846,119.70554,0.001,250
0.05901,119.89425,0.001,250
0.05959,120.08297,0.001,250
0.06019,120.27168,0.001,250
0.06075,120.4604,0.001,250
0.06147,120.64911,0.001,250
0.06228,120.83783,0.001,250
0.06282,121.02654,0.001,250
0.06339,121.21526,0.001,250
0.06413,121.40397,0.001,250
0.06504,121.59268,0.001,250
0.06592,121.7814,0.001,250
0.06647,121.97011,0.001,250
0.06691,122.15883,0.001,250
0.06741,122.34754,0.001,250
0.06798,122.53626,0.001,250
0.06864,122.72497,0.001,250
0.06935,122.91369,0.001,250
0.07009,123.1024,0.001,250
0.07077,123.29112,0.001,250
0.07149,123.47983,0.001,250
